neighbourhood_group,room_type,minimum_nights,price
Brooklyn,Entire home/apt,30,96.0
Manhattan,Private room,30,59.0
Manhattan,Private room,30,67.0
Brooklyn,Private room,2,195.0
Brooklyn,Entire home/apt,30,290.0
Brooklyn,Entire home/apt,30,216.0
Manhattan,Entire home/apt,30,175.0
Brooklyn,Private room,30,90.0
Brooklyn,Entire home/apt,30,110.0
Brooklyn,Entire home/apt,30,115.0
Manhattan,Entire home/apt,30,169.0
Brooklyn,Private room,30,97.0
Manhattan,Private room,1,109.0
Manhattan,Private room,1,136.0
Manhattan,Entire home/apt,30,300.0
Manhattan,Entire home/apt,30,230.0
Manhattan,Private room,30,70.0
Manhattan,Private room,30,150.0
Manhattan,Entire home/apt,90,200.0
Brooklyn,Private room,30,94.0
Manhattan,Private room,30,85.0
Brooklyn,Private room,30,150.0
Manhattan,Entire home/apt,30,200.0
Brooklyn,Entire home/apt,30,200.0
Brooklyn,Entire home/apt,30,81.0
Manhattan,Entire home/apt,30,100.0
Manhattan,Entire home/apt,30,150.0
Brooklyn,Private room,30,90.0
Brooklyn,Private room,3,139.0
Manhattan,Entire home/apt,30,210.0
Brooklyn,Private room,2,122.0
Brooklyn,Entire home/apt,30,233.0
Brooklyn,Private room,30,74.0
Manhattan,Private room,31,98.0
Manhattan,Private room,5,220.0
Brooklyn,Private room,30,183.0
Manhattan,Private room,30,58.0
Brooklyn,Entire home/apt,30,106.0
Manhattan,Private room,30,90.0
Brooklyn,Entire home/apt,30,150.0
Brooklyn,Entire home/apt,30,222.0
Staten Island,Entire home/apt,30,116.0
Brooklyn,Entire home/apt,30,295.0
Manhattan,Entire home/apt,30,127.0
Brooklyn,Private room,30,192.0
Queens,Private room,30,83.0
Brooklyn,Entire home/apt,30,361.0
Manhattan,Entire home/apt,30,188.0
Manhattan,Entire home/apt,30,108.0
Brooklyn,Private room,2,82.0
Brooklyn,Entire home/apt,1,246.0
Brooklyn,Private room,30,95.0
Brooklyn,Entire home/apt,30,185.0
Brooklyn,Private room,30,119.0
Manhattan,Private room,30,121.0
Brooklyn,Private room,90,200.0
Manhattan,Private room,30,82.0
Brooklyn,Private room,3,765.0
Manhattan,Entire home/apt,2,139.0
Brooklyn,Private room,4,130.0
Manhattan,Private room,30,139.0
Manhattan,Entire home/apt,30,563.0
Brooklyn,Private room,30,185.0
Manhattan,Entire home/apt,30,165.0
Brooklyn,Private room,30,110.0
Brooklyn,Entire home/apt,30,77.0
Queens,Entire home/apt,30,534.0
Bronx,Private room,30,60.0
Manhattan,Private room,31,97.0
Brooklyn,Private room,30,85.0
Brooklyn,Private room,30,95.0
Queens,Private room,3,153.0
Queens,Entire home/apt,30,117.0
Queens,Entire home/apt,30,223.0
Queens,Entire home/apt,30,298.0
Manhattan,Private room,30,172.0
Brooklyn,Private room,3,87.0
Manhattan,Entire home/apt,30,86.0
Manhattan,Private room,30,125.0
Brooklyn,Private room,4,127.0
Manhattan,Private room,30,60.0
Queens,Entire home/apt,30,103.0
Brooklyn,Private room,30,292.0
Manhattan,Entire home/apt,30,116.0
Manhattan,Entire home/apt,30,150.0
Queens,Entire home/apt,30,223.0
Manhattan,Entire home/apt,30,125.0
Manhattan,Private room,30,73.0
Manhattan,Entire home/apt,30,115.0
Manhattan,Private room,60,65.0
Brooklyn,Entire home/apt,30,350.0
Bronx,Private room,30,107.0
Bronx,Private room,30,125.0
Brooklyn,Private room,30,71.0
Brooklyn,Private room,30,57.0
Brooklyn,Entire home/apt,30,171.0
Manhattan,Entire home/apt,30,349.0
Manhattan,Entire home/apt,30,199.0
Brooklyn,Entire home/apt,30,209.0
Brooklyn,Entire home/apt,30,156.0
Manhattan,Entire home/apt,30,189.0
Manhattan,Entire home/apt,30,657.0
Manhattan,Entire home/apt,30,128.0
Manhattan,Entire home/apt,30,200.0
Manhattan,Entire home/apt,30,120.0
Brooklyn,Private room,30,221.0
Brooklyn,Hotel room,1,184.0
Brooklyn,Entire home/apt,48,350.0
Manhattan,Private room,30,76.0
Manhattan,Entire home/apt,30,139.0
Brooklyn,Entire home/apt,30,165.0
Brooklyn,Entire home/apt,30,77.0
Brooklyn,Private room,30,166.0
Brooklyn,Hotel room,1,184.0
Brooklyn,Entire home/apt,30,800.0
Manhattan,Entire home/apt,30,95.0
Brooklyn,Entire home/apt,180,424.0
Brooklyn,Private room,30,630.0
Brooklyn,Private room,30,109.0
Manhattan,Private room,30,115.0
Brooklyn,Private room,3,180.0
Brooklyn,Entire home/apt,1,246.0
Brooklyn,Entire home/apt,1,246.0
Brooklyn,Entire home/apt,1,246.0
Brooklyn,Entire home/apt,1,246.0
Brooklyn,Entire home/apt,1,246.0
Brooklyn,Entire home/apt,1,246.0
Brooklyn,Entire home/apt,1,246.0
Brooklyn,Hotel room,1,184.0
Brooklyn,Private room,30,82.0
Brooklyn,Entire home/apt,4,217.0
Manhattan,Entire home/apt,30,495.0
Brooklyn,Entire home/apt,30,165.0
Brooklyn,Entire home/apt,7,150.0
Brooklyn,Private room,30,171.0
Manhattan,Entire home/apt,30,150.0
Manhattan,Private room,30,62.0
Brooklyn,Entire home/apt,30,100.0
Brooklyn,Entire home/apt,30,260.0
Queens,Private room,30,114.0
Manhattan,Private room,30,81.0
Brooklyn,Entire home/apt,30,161.0
Brooklyn,Entire home/apt,30,175.0
Brooklyn,Private room,30,95.0
Brooklyn,Private room,30,60.0
Manhattan,Private room,30,57.0
Queens,Entire home/apt,30,110.0
Brooklyn,Entire home/apt,30,90.0
Brooklyn,Entire home/apt,30,99.0
Brooklyn,Entire home/apt,30,156.0
Brooklyn,Private room,7,266.0
Brooklyn,Entire home/apt,30,280.0
Brooklyn,Private room,30,855.0
Manhattan,Entire home/apt,30,259.0
Manhattan,Entire home/apt,30,175.0
Brooklyn,Entire home/apt,30,290.0
Manhattan,Entire home/apt,30,112.0
Manhattan,Private room,4,475.0
Queens,Private room,2,164.0
Manhattan,Private room,3,248.0
Brooklyn,Entire home/apt,30,63.0
Brooklyn,Private room,30,162.0
Manhattan,Entire home/apt,31,275.0
Brooklyn,Entire home/apt,30,175.0
Brooklyn,Entire home/apt,30,231.0
Brooklyn,Private room,2,106.0
Brooklyn,Private room,30,78.0
Brooklyn,Entire home/apt,30,101.0
Manhattan,Entire home/apt,30,150.0
Manhattan,Private room,30,175.0
Brooklyn,Entire home/apt,30,117.0
Manhattan,Entire home/apt,30,88.0
Brooklyn,Entire home/apt,30,130.0
Manhattan,Private room,2,125.0
Manhattan,Private room,30,75.0
Brooklyn,Private room,30,60.0
Brooklyn,Private room,3,105.0
Brooklyn,Entire home/apt,30,125.0
Brooklyn,Entire home/apt,30,190.0
Brooklyn,Entire home/apt,30,398.0
Brooklyn,Entire home/apt,30,185.0
Brooklyn,Private room,30,72.0
Brooklyn,Entire home/apt,30,89.0
Queens,Private room,30,52.0
Brooklyn,Entire home/apt,30,300.0
Brooklyn,Entire home/apt,30,250.0
Brooklyn,Entire home/apt,30,107.0
Manhattan,Entire home/apt,30,191.0
Manhattan,Entire home/apt,30,124.0
Manhattan,Entire home/apt,30,223.0
Manhattan,Entire home/apt,30,85.0
Manhattan,Entire home/apt,30,235.0
Brooklyn,Private room,30,65.0
Brooklyn,Entire home/apt,60,175.0
Brooklyn,Entire home/apt,30,120.0
Brooklyn,Private room,30,65.0
Queens,Private room,30,94.0
Brooklyn,Private room,30,75.0
Queens,Private room,30,95.0
Manhattan,Entire home/apt,30,212.0
Manhattan,Entire home/apt,90,81.0
Manhattan,Private room,30,89.0
Queens,Private room,30,85.0
Brooklyn,Entire home/apt,30,523.0
Brooklyn,Private room,30,58.0
Manhattan,Private room,30,110.0
Manhattan,Entire home/apt,30,279.0
Manhattan,Entire home/apt,30,130.0
Manhattan,Entire home/apt,30,131.0
Manhattan,Entire home/apt,30,133.0
